,aapl,intu,klac,nvda,adsk,has,nke,tif,pvh,bby,abc,unh,ci,mck,hum,el,cost,wba,mo,syy,bkr,slb,hal,cvx,oke,ipg,omc,viac,cmcsa,dis,expd,gww,pcar,ba,rtn,es,eix,ed,sre,exc,ecl,shw,iff,fmc,ppg,pld,reg,avb,well,kim
0,6.83664918039276e-12,5.599276048882427e-13,0.35284198189335936,3.525776528701333e-14,9.630293499045073e-13,6.691415736865622e-13,3.6351757966712058e-12,9.98018550984259e-13,1.980089185471751e-12,8.165085774537296e-13,0.2836347257966381,5.594306135842878e-12,9.922491753605973e-13,1.8325570261747028e-11,3.276001916416675e-13,9.3157941579379e-13,2.2499897047696486e-13,3.026761398272911e-13,2.6052895255111704e-12,1.4812515418626687e-10,2.769957057263001e-12,3.013061399972484e-14,3.053126908602314e-14,6.853286329529347e-13,3.7925626629289736e-13,9.496270148991563e-14,4.107243125896208e-13,1.0310024669845485e-12,5.632539284311602e-12,1.3406797417199335e-12,1.865851195470254e-13,4.004814641890668e-14,3.5181874058867715e-14,1.040397333900445e-08,8.078446574009043e-14,0.3635232816589285,1.6192437959473575e-13,1.5692875613772213e-12,1.3817825630862518e-12,4.738247501554506e-13,1.3973527432838675e-11,2.394832696416827e-13,2.2853313431428738e-12,2.024389041975206e-13,2.8496760067095614e-12,1.1283030955404816e-12,4.673485869456428e-13,1.4341100172856463e-11,3.6672081136651007e-13,9.886255105255237e-13
1,1.0268880753323084e-11,5.286683403977246e-13,0.29816929562027406,3.3025286672288685e-14,9.602768489180855e-13,6.294714664251111e-13,2.4830824893837635e-12,1.0133906591444388e-12,1.9015532887007932e-12,8.087595080859033e-13,0.296715096892845,4.279537989375733e-12,9.163592302374583e-13,7.0949399777839e-12,3.007377435973144e-13,9.346210745057755e-13,2.1337556860931196e-13,2.8491748821532233e-13,2.1436754666912565e-12,6.300583833169235e-11,2.817411350483645e-12,2.8228606212860454e-14,2.8615862596855224e-14,6.66511422970397e-13,3.5614792844914713e-13,8.932493652577984e-14,4.002003011326001e-13,1.0355805352648374e-12,5.234562473485137e-12,1.427754951218773e-12,1.7480930332094128e-13,3.752165366162138e-14,3.289911523020643e-14,2.43298512409994e-09,7.514244932595788e-14,0.40511560491988324,1.502613339223277e-13,1.300219186808804e-12,1.228390257936079e-12,4.565858222832418e-13,7.490070461306265e-12,2.2055948352790347e-13,2.1318683139314204e-12,1.926444233460253e-13,2.5193725094128543e-12,9.929140392343429e-13,4.289851731138006e-13,5.509029328376839e-12,3.395548790883253e-13,8.485956145823728e-13
2,2.5207417553048626e-13,2.086068278223189e-14,0.21620304838456217,1.3258333101199446e-15,3.796232624732344e-14,2.636938649436372e-14,1.4784581512268198e-13,3.6087061227098306e-14,7.800170952910252e-14,3.2195833015737804e-14,0.274477193506069,2.1299724607747887e-13,3.6882728801667265e-14,5.799105849066741e-13,1.2346530916465934e-14,3.4525244288827123e-14,8.487911980450709e-15,1.1326245631222946e-14,1.039588917497903e-13,8.255110002983912e-13,1.0849918110941759e-13,1.1297062130887295e-15,1.144927442371068e-15,2.6642032217414118e-14,1.4210813371808644e-14,3.5498733111377587e-15,1.520074064631656e-14,3.821007108457504e-14,2.018175635335091e-13,5.003250188953757e-14,7.003751871016321e-15,1.5043688937252984e-15,1.3224414589272375e-15,0.005040123990052767,3.033662638462211e-15,0.5042796341115755,6.073954874468369e-15,6.204788670460376e-14,5.559036275126699e-14,1.7797498394063127e-14,2.4452517105338843e-13,9.119723850958997e-15,9.345949061937765e-14,7.514276821717351e-15,1.1273697740060825e-13,4.419604552497015e-14,1.8049883712250557e-14,4.501404246654137e-13,1.40974462785583e-14,3.952807006117642e-14
3,6.424060062693214e-13,5.219907980559583e-14,0.26477961808480255,3.296813524535056e-15,9.401465091126766e-14,6.562082070790919e-14,3.738180634117059e-13,8.93689518778509e-14,1.9235280118844133e-13,8.014977448807344e-14,0.21268710688409923,5.623279637440491e-13,9.167681749953096e-14,1.27376785298549e-12,3.0658876235121563e-14,8.604795840562647e-14,2.1069717007296117e-14,2.813603892288561e-14,2.563495000186733e-13,1.8029773392351856e-12,2.6278841598782586e-13,2.8101961775492952e-15,2.848244503025697e-15,6.557556215503748e-14,3.52183114784006e-14,8.82923075213202e-15,3.7760140421172694e-14,9.496873894158116e-14,4.581574392751497e-13,1.2513974828916216e-13,1.742808671904857e-14,3.742103299563831e-15,3.2892111585824748e-15,0.019899532412911026,7.543236185013085e-15,0.5026337426068055,1.512204753934812e-14,1.5447915450051188e-13,1.362328004413353e-13,4.4168435152057635e-14,6.275439190393933e-13,2.2736712245326602e-14,2.3849398694420814e-13,1.8665556424806144e-14,2.87298646377992e-13,1.1196392663960981e-13,4.516163933700165e-14,1.0158730456255272e-12,3.5202045444957153e-14,9.896146307566868e-14
4,3.776569264411426e-12,3.0584059504276453e-13,0.22191865257807844,1.8875778371463777e-14,5.344939317255656e-13,3.7027627621690525e-13,1.9405256052503883e-12,5.135447296328158e-13,1.1788046696816989e-12,4.541119795711506e-13,0.2678908733396235,3.683176937261452e-12,5.242308906670744e-13,5.3368888715419125e-12,1.7487559950792573e-13,5.043972869125295e-13,1.202989326847074e-13,1.6226476810995596e-13,1.3691487088015706e-12,2.8575897171993164e-10,1.5679104863964912e-12,1.610351563809172e-14,1.6333785395742144e-14,3.75931820817435e-13,2.031335946312192e-13,5.062871500487558e-14,2.1661561452852094e-13,5.660163850852538e-13,2.8170494180197993e-12,7.466933520690532e-13,1.0028064611345032e-13,2.142347493990229e-14,1.8827635603018867e-14,2.215934384345252e-07,4.313414055013562e-14,0.5101902521587963,8.64194296663585e-14,8.912484963086579e-13,7.771987022588861e-13,2.578708467025201e-13,5.134570638565494e-12,1.2998225872206855e-13,1.4062998318173872e-12,1.074665013872931e-13,1.6786466311637727e-12,6.560651314438824e-13,2.6146112573335723e-13,4.5338061041910715e-12,2.0243741666208145e-13,5.618512624614727e-13
5,1.3230139156189922e-13,1.1971699063837706e-14,0.25323102324514835,7.301425755561225e-16,2.088608253492601e-14,1.432564187554947e-14,8.365886764488551e-14,1.973825820316899e-14,4.3369684198056016e-14,1.7551280813214905e-14,0.24705136542191805,1.7097243777513188e-13,1.9793849815062994e-14,2.13282733945195e-13,6.7831555233033554e-15,1.8936599710357917e-14,4.65755186662383e-15,6.201264256034198e-15,5.2054173818886203e-14,0.03142281665204917,6.063715485247291e-14,6.227233265978782e-16,6.317074475453234e-16,1.4320485722645906e-14,7.863321610955636e-15,1.9547881813217143e-15,8.378223485342023e-15,2.1439245217525162e-14,9.922374505128637e-14,2.7749171451946982e-14,3.901579541539949e-15,8.300409073084336e-16,7.298774680746733e-16,6.139775977850203e-09,1.670607707787971e-15,0.46829478854054374,3.335665479834332e-15,3.641857625440521e-14,3.023211064909126e-14,9.898143427479257e-15,3.3947799525181985e-13,5.086292099612324e-15,5.976410557753719e-14,4.1389429903469075e-15,6.366733132990991e-14,2.632431277671241e-14,1.0319085904511354e-14,1.879337465349139e-13,7.910446455047177e-15,2.2737541583336052e-14
6,7.019066216437658e-13,9.217663729087173e-14,0.24339373917202756,6.012024476992691e-15,1.568542357972775e-13,1.1378919493067855e-13,6.199272774172586e-13,1.5047071003945016e-13,2.7318155281766064e-13,1.3567981595660439e-13,0.17149520932614568,1.7950330751325614e-12,1.550979166756962e-13,1.1027103641137406e-12,5.442448353873812e-14,1.493567295098503e-13,3.783042045828517e-14,4.982788306496653e-14,3.7188501819832596e-13,0.1086568194670568,3.699365083193237e-13,5.127058210615675e-15,5.2048916334522294e-15,1.1349443299973831e-13,6.24627589982574e-14,1.6010824744757146e-14,6.643803407096674e-14,1.5810288381033337e-13,5.797932521565388e-13,2.034017724456856e-13,3.175733485025205e-14,6.825618602853917e-15,6.009524348386473e-15,1.922111437852428e-11,1.3728243794126308e-14,0.4764542319956346,2.7300568715258232e-14,2.516164039705332e-13,2.287831144612052e-13,7.83661355375774e-14,9.653691068221416e-12,4.1157380497714474e-14,3.6352840531313017e-13,3.352433125765053e-14,3.728478622157083e-13,1.8575101905964795e-13,8.213414974825977e-14,7.467006584790965e-13,6.354207703119484e-14,1.8010736080618919e-13
7,1.5850459478268633e-13,1.5117248202815286e-14,0.18743850428037503,9.05728657494794e-16,2.6006777887601855e-14,1.7981526852949965e-14,1.0902106145377817e-13,2.46211471950667e-14,5.343467709981291e-14,2.1905210397112525e-14,0.010023348217914731,2.8479915894860554e-13,2.4649453403154312e-14,2.7275296993319535e-13,8.412695762998245e-15,2.3285083896321812e-14,5.78516921220853e-15,7.643111680615742e-15,6.551056072799062e-14,0.18771865785037456,7.234399170204919e-14,7.717756468454652e-16,7.837922916911739e-16,1.7685452446784396e-14,9.813498520830556e-15,2.4222396940646497e-15,1.0348140466894491e-14,2.6316999512889693e-14,1.1967694914631528e-13,3.300783912571085e-14,4.8831451698101564e-15,1.0296797751194634e-15,9.065227988005534e-16,6.88226051076771e-13,2.0732542273893882e-15,0.6148194896462954,4.143535807878104e-15,4.563391106095485e-14,3.8863866906843797e-14,1.2272069482075936e-14,5.182223614045507e-13,6.341793348492848e-15,7.65593421196513e-14,5.1172672908809866e-15,7.920319109684195e-14,3.4183740942674716e-14,1.3023852469194794e-14,2.317924202729265e-13,9.910492740682524e-15,2.9483219771889186e-14
8,7.648351921566785e-13,8.32029051085628e-14,0.23580558989608993,4.9889642843996e-15,1.3708837576911242e-13,9.48173558551207e-14,5.140516597448059e-13,1.293873254454414e-13,2.7624378464875024e-13,1.1514255655138446e-13,0.16158781517569532,2.8025308111539165e-12,1.3954265113250552e-13,1.903279881450434e-12,4.559090528238198e-14,1.2441141386866754e-13,3.193163756511097e-14,4.2174253330869364e-14,3.58794706957046e-13,0.09149767908016672,3.7884905432390167e-13,4.247038192874848e-15,4.320014256848149e-15,9.677909345401272e-14,5.291097039018725e-14,1.3348501031307705e-14,5.6022664176079886e-14,1.4307701462230243e-13,6.285103137529229e-13,1.7345165170026165e-13,2.665790273201783e-14,5.667761861569882e-15,4.992236984720642e-15,4.99192273400244e-11,1.1401432984783083e-14,0.5111089157797645,2.2589100113972092e-14,2.4177506644585567e-13,1.9692826257757106e-13,6.596349653369223e-14,6.173452536754545e-12,3.4290747495822855e-14,4.037646341776571e-13,2.8207412988064893e-14,4.141596033213746e-13,1.7746792432078542e-13,6.962005065675383e-14,1.1691595026955913e-12,5.3343888571954256e-14,1.4895241913387367e-13
9,4.0421904797374104e-13,9.477667672241806e-14,0.23058175379982918,5.922437781488424e-15,1.4618946507776085e-13,1.0416646034845388e-13,2.8316248997591313e-13,1.382598107667082e-13,2.3413175231817784e-13,1.2493073719391932e-13,0.24212876909984898,4.19531608638134e-12,1.543407847264646e-13,1.7881008442609257e-12,5.286048638904284e-14,1.3428873749487041e-13,3.720285226594488e-14,4.9189583292004875e-14,3.363227294452992e-13,9.733074937676063e-10,4.3172694933977626e-13,5.045355178424078e-15,5.125381561097013e-15,1.0859116632388867e-13,6.102621117028781e-14,1.5786414744867032e-14,6.42921311921702e-14,1.637605394671381e-13,6.715487866667e-13,1.7885126148012358e-13,3.110231354639949e-14,6.727702909174623e-15,5.911873930212114e-15,7.418526929026864e-12,1.3524685923478982e-14,0.5272894760849338,2.6514806361610215e-14,2.5834374198151433e-13,2.056463818587522e-13,7.519671567298934e-14,2.222841482470627e-11,3.971561016670045e-14,5.292977615815178e-13,3.3085161752088824e-14,3.454825445951071e-13,1.8142809872658138e-13,7.927759492096672e-14,3.9666614934300813e-13,6.083303587020296e-14,1.6141831788696383e-13
