company,name,sector,sector_name,scope1,scope2,emissions,market_value,revenues,carbon_footprint,intensity
aapl,APPLE,45,IT,45.397,776.5,821.897,1206167.0,260174.0,0.6814122754145985,3.159028188827477
msft,MICROSOFT,45,IT,97.639,2692.709,2790.348,1169037.0,125843.0,2.38687740422245,22.173247618063776
amzn,AMAZON.COM,25,Consumer Discretionary,4980.0,4710.0,9690.0,872766.5,232887.0,11.102625960093565,41.608161898259674
fb,FACEBOOK CLASS A,50,Communication Services,18.89999962,1137.0,1155.89999962,473472.7,55838.0,2.441323437697675,20.70095633117232
jpm,JP MORGAN CHASE & CO.,40,Financial,78.229,770.704,848.933,432897.4,131412.0,1.9610489691090778,6.460087358840897
googl,ALPHABET A,50,Communication Services,66.549,3301.392,3367.941,404045.5,136819.0,8.33554884289022,24.616032860933057
jnj,JOHNSON & JOHNSON,35,Health Care,460.076,673.945,1134.0210000000002,371988.9,81581.0,3.048534512723364,13.900552824799895
wmt,WALMART,30,Consumer Staples,6523.39,13187.651,19711.041,339779.9,514405.0,58.0112037233515,38.31813648778686
v,VISA 'A',45,IT,9.14343,88.044867,97.18829699999999,312803.3,22977.0,0.31070099644089433,4.229807938373155
bac,BANK OF AMERICA,40,Financial,82.298,836.052,918.35,311950.1,110584.0,2.9439003225195317,8.304546769876294
pg,PROCTER & GAMBLE,30,Consumer Staples,2174.0,2750.0,4924.0,310654.1,67684.0,15.850426567684123,72.74983748005437
xom,EXXON MOBIL,10,Energy,,,,297616.0,279332.0,,
ma,MASTERCARD,45,IT,6.27207,78.489273,84.761343,291464.5,14950.0,0.2908118930435782,5.669655050167224
dis,WALT DISNEY,50,Communication Services,843.275,1002.15,1845.425,266322.4,69570.0,6.929289462696341,26.526160701451776
t,AT&T,50,Communication Services,1048.692,6951.085,7999.777,280146.8,170756.0,28.555660817828368,46.84917074656235
unh,UNITEDHEALTH GROUP,35,Health Care,16.57,191.64,208.20999999999998,268696.4,226247.0,0.7748894291103267,0.9202773959433715
intc,INTEL,45,IT,1490.0,2615.0,4105.0,250342.4,70848.0,16.39754192657736,57.94094399277326
vz,VERIZON COMMUNICATIONS,50,Communication Services,382.750781,4745.6465,5128.397281,252985.9,130863.0,20.271474738315455,39.18905482069034
hd,HOME DEPOT,25,Consumer Discretionary,433.633,1684.212,2117.845,231299.8,108203.0,9.156276832059516,19.57288614918255
