timestamp,aapl,intu,klac,nvda,adsk,has,nke,tif,pvh,bby,abc,unh,ci,mck,hum,el,cost,wba,mo,syy,bkr,slb,hal,cvx,oke,ipg,omc,viac,cmcsa,dis,expd,gww,pcar,ba,rtn,es,eix,ed,sre,exc,ecl,shw,iff,fmc,ppg,pld,reg,avb,well,kim
1999-12-14,723.14,1052.36,3570.27,188.89,1732.45,12798.09,3639.86,2229.5,820.23,12932.7,110.58,4527.86,1010.6,133.92,4756.81,251.04,481.25,40968.55,5131.1,11597.09,126.12,1485.19,636.96,3477.07,1768.1,36710.52,18257.66,404.99,66090.63,1590.96,5938.75,1619.01,3171.09,9838.25,2665.63,1404.28,2737.34,4263.45,1635.74,1852.15,1321.58,2563.78,522.75,2291.15,4581.13,91.32,162.15,209.19,2293.0,366.31
1999-12-21,781.26,1041.73,4664.87,215.88,1796.35,11551.52,4460.95,2326.31,833.24,11866.08,110.58,4321.05,951.04,134.74,4635.87,273.32,458.55,37019.77,4930.14,11271.21,128.29,1512.22,675.57,3383.03,1759.77,35892.92,18599.24,412.84,70313.06,1587.47,6135.46,1560.6,3334.16,9886.17,2513.83,1383.51,2933.36,4396.93,1665.34,1940.51,1397.02,2571.97,546.18,2253.14,4493.78,95.24,170.54,224.67,2418.78,401.48
1999-12-28,748.39,1109.05,4691.89,226.04,1807.0,12091.7,4540.41,2493.73,807.21,11899.41,128.04,4500.65,977.63,144.16,4877.74,297.46,480.26,39323.22,4742.58,11827.11,149.09,1576.33,724.39,3425.1,1743.13,35279.71,18415.32,427.52,73617.63,1618.87,6439.89,1619.01,3447.18,10556.96,2519.9,1379.35,2954.37,4412.63,1677.03,1933.44,1460.3,2645.69,553.74,2418.73,4784.95,96.48,172.64,234.3,2322.03,399.28
2000-01-04,781.26,1150.39,4491.89,231.43,1803.45,11468.42,4131.77,2319.26,781.17,15299.24,122.75,4620.38,1007.45,143.75,4918.05,289.29,442.76,36197.11,5064.11,11328.72,140.42,1649.04,699.41,3311.26,1630.81,32704.25,17231.31,393.98,63520.45,1772.39,6364.95,1489.66,3126.95,10253.5,2539.2,1375.2,2865.9,4294.86,1636.12,1901.63,1433.1,2539.2,531.06,2359.01,4498.63,96.79,167.92,225.51,2370.4,401.05
2000-01-11,706.94,1556.69,4997.3,210.8,1710.92,11219.11,4642.57,2458.48,716.07,14899.26,170.37,5257.11,1063.07,176.93,5321.18,299.69,482.24,38994.16,5171.29,11999.82,163.39,1843.05,735.74,3447.37,1684.89,34053.3,17921.02,431.63,63795.82,2023.59,6304.07,1619.01,3211.72,10956.23,2698.28,1395.97,3156.03,4326.27,1577.69,2103.1,1569.81,2531.01,550.91,2511.03,4804.36,100.2,174.21,239.1,2602.61,423.46
2000-01-18,792.21,1450.39,5648.65,232.7,1668.23,10886.69,4597.16,2458.48,755.13,14549.28,179.89,5137.38,1018.74,175.7,5563.05,316.03,539.47,38500.56,4930.14,12038.29,163.83,2012.33,757.32,3536.46,1718.17,35320.59,17208.32,404.55,71231.0,1925.9,6275.96,1823.48,3343.58,11499.26,1860.04,1337.81,3056.96,4098.57,1618.59,2131.38,1501.45,2432.72,550.91,2549.04,4775.25,99.58,170.02,233.58,2496.18,425.7
2000-01-25,855.57,1328.74,5356.76,215.24,1881.65,10221.85,4438.25,2114.83,748.62,14265.96,158.73,4805.41,922.02,144.16,4998.68,321.6,523.03,37431.1,4622.0,10596.0,158.63,1932.44,726.66,3506.76,1801.38,33317.46,16633.56,422.46,67100.31,2093.37,6290.02,1717.07,3145.79,11674.94,1957.93,1321.19,3269.25,4145.68,1612.75,2262.16,1391.59,2359.0,538.62,2312.86,4391.87,101.44,166.87,239.53,2631.63,420.47
2000-02-01,764.11,1224.8,5243.25,192.7,1803.4,10177.99,4239.61,2035.52,690.03,13249.34,158.2,4740.1,926.86,136.79,5321.18,307.49,546.05,37924.7,4501.43,10846.0,167.29,1945.76,660.81,3293.93,1768.08,31518.72,17725.61,410.05,64989.13,2009.64,6327.48,1566.86,3192.88,11179.83,2147.61,1350.27,3240.94,4129.97,1747.15,2350.53,1369.62,2416.34,535.79,2342.72,4353.05,102.06,164.77,234.43,2574.58,417.48
2000-02-08,875.58,1303.94,6032.44,202.54,2248.02,10845.4,3348.55,1938.59,624.93,15265.91,151.32,4876.16,963.93,133.51,5280.86,297.09,558.55,39652.29,4179.9,10076.77,157.65,1810.71,669.89,3100.9,1675.46,32949.54,17449.72,464.22,70221.25,2096.86,6322.8,1607.72,3244.68,10477.1,2110.9,1337.81,3156.03,3957.24,1782.21,2396.48,1335.44,2539.2,522.56,2253.14,4027.9,101.44,167.92,233.58,2474.4,419.72
2000-02-15,907.02,1085.43,6027.03,283.18,2095.07,10595.13,2763.98,1855.76,663.99,14149.3,134.39,5170.03,1022.77,122.05,4877.74,296.72,519.74,37513.37,4086.12,10365.23,177.68,1978.09,699.41,3068.73,1675.46,30047.03,17357.76,434.35,67192.13,2058.48,5620.27,1708.2,3272.94,9873.57,1982.41,1275.49,3170.18,3970.33,1764.68,2311.65,1303.7,2621.11,506.5,2215.14,4076.43,102.37,161.29,232.73,2424.31,404.79
2000-02-22,867.48,1174.02,6194.6,332.71,2055.95,10344.84,2565.33,1599.65,729.09,14332.63,133.33,5121.05,977.63,129.42,4555.25,306.74,463.16,34594.0,4474.64,10461.38,168.97,1993.31,644.91,3021.99,1582.85,29433.83,15863.38,404.55,58747.23,1863.1,5123.81,1565.85,3432.33,9969.74,2049.71,1225.63,3092.34,3562.91,1735.46,2251.56,1237.78,2604.73,479.09,2160.84,4117.27,102.06,162.36,232.31,2454.36,402.55
2000-02-29,873.67,992.13,6740.55,325.09,2543.25,10511.7,2582.36,1804.65,722.58,14565.95,123.28,4451.67,951.84,127.36,4394.0,257.72,522.37,34017.43,4327.27,10096.0,180.29,2254.15,696.0,2982.07,1528.12,26339.08,17323.27,409.17,58747.23,1870.08,5657.74,1433.97,3266.4,9472.86,1811.09,1250.56,2972.04,3522.97,1682.87,2123.24,1103.51,2524.08,453.58,2098.41,3863.0,100.2,162.63,229.33,2494.44,411.51
2000-03-07,936.55,976.77,7264.87,423.19,2731.77,9677.44,2531.28,1746.49,742.11,15649.23,110.58,4266.64,845.46,122.01,3950.57,245.1,477.63,29981.46,4193.3,8422.95,202.5,2508.32,811.05,3234.11,1540.75,26298.12,14851.8,400.0,56452.42,2009.64,5470.39,1302.09,3105.22,8911.86,1749.9,1302.95,1811.53,3530.96,1612.75,2148.14,1108.39,2474.58,440.35,2038.69,3633.17,100.2,164.51,234.43,2374.22,409.27
2000-03-14,870.81,964.96,6605.41,559.38,3002.11,9719.15,2622.09,1815.22,706.75,16715.84,101.59,4359.15,795.29,119.96,4273.06,241.31,455.92,32946.66,4139.71,8730.64,186.39,2327.12,700.56,3308.97,1528.12,24905.38,15402.76,386.64,53606.85,1904.97,5226.85,1523.99,3209.51,8479.09,1774.38,1294.6,1762.0,3530.96,1589.38,2123.24,1203.6,2482.83,470.59,2136.41,3598.94,101.13,163.97,231.03,2404.27,414.5
2000-03-21,1028.49,1000.39,6978.38,481.92,2913.18,10761.98,3018.08,2125.24,765.65,19599.03,135.45,4702.01,909.48,126.12,4635.87,276.63,549.34,36900.27,4457.27,10538.3,189.87,2197.41,683.47,3433.74,1683.88,27076.41,16911.93,424.29,56268.84,2187.57,5962.17,1737.51,3674.11,9376.68,1896.75,1340.54,1783.23,3898.43,1646.46,2205.04,1371.94,2936.51,526.34,2353.58,4083.04,104.23,171.5,239.1,2494.44,439.14
2000-03-28,1060.41,1059.45,7351.36,409.22,2781.57,11345.96,3354.06,2329.83,739.47,21865.59,126.46,4821.73,943.5,141.32,4716.5,288.53,538.16,35170.57,4292.7,10461.38,200.76,2346.19,686.89,3388.83,1599.69,30189.59,18340.46,411.01,53698.64,2285.26,6585.08,1875.67,3522.41,9745.34,1847.8,1399.0,1804.45,3658.78,1622.77,2087.67,1357.24,2944.75,499.83,2388.87,3892.34,104.85,168.27,245.05,2384.24,437.65
2000-04-04,970.38,976.77,6886.49,380.96,2514.8,11095.68,3547.67,2285.73,798.37,20665.64,131.75,5292.53,1010.71,134.75,4918.05,301.54,569.08,35252.93,4868.71,11807.52,210.78,2416.77,729.04,3585.97,1679.67,30967.88,16678.64,383.93,60124.12,2295.73,5929.38,1800.31,4001.23,9569.03,1824.68,1403.18,1927.91,3858.49,1575.39,2240.6,1447.89,2911.76,545.7,2502.89,4210.18,108.26,172.04,251.84,2223.95,445.44
