,aapl,intu,klac,nvda,adsk,has,nke,tif,pvh,bby,abc,unh,ci,mck,hum,el,cost,wba,mo,syy,bkr,slb,hal,cvx,oke,ipg,omc,viac,cmcsa,dis,expd,gww,pcar,ba,rtn,es,eix,ed,sre,exc,ecl,shw,iff,fmc,ppg,pld,reg,avb,well,kim
0,0.017136216558192852,0.0022130178930610312,3.310014150667751e-14,8.434245262958679e-14,0.004889371826134016,7.004412031844039e-14,3.063462039915609e-14,6.563423436838469e-14,9.949150995273939e-14,5.6761566729260114e-15,3.648972245597507e-13,1.0065544459520864e-14,1.4867580380418963e-13,1.1837651502767048e-12,2.2915306731511593e-14,0.03045226624793038,0.0035987720570805166,6.246756718391672e-15,1.5685966603808615e-14,8.6150932407619e-15,8.829129544166315e-13,2.375541568324237e-13,3.4380182171267646e-13,1.725225579728789e-13,6.985792801445363e-14,0.0006214719074754267,1.7330860475065476e-14,3.8762543692073227e-13,0.00024822620270327327,1.8456711801496889e-13,1.2423595435737054e-14,0.0020283445633811105,3.1031177796746514e-14,7.623551654458111e-15,0.0019162357171729617,1.7809954140812946e-13,0.005916976553061228,6.322256345260477e-14,1.0200725330583248e-13,5.852676412095079e-14,1.211515785289773e-13,4.646332255888226e-14,0.006952651828802312,5.983978107135681e-14,9.837086919826728e-14,0.9240264486366397,2.1558883740884254e-12,5.962234793583258e-13,3.770440109628598e-14,3.311194576436905e-13
1,0.010150114230680888,0.005188500314258689,3.4004137867767834e-15,8.83263095001473e-15,0.0032174273034198584,5.800226193915221e-15,3.4706208594053143e-15,5.958061021447976e-15,1.1303628995058029e-14,6.722957054922755e-16,6.184020197491005e-14,1.504741650258011e-15,2.5383732683399364e-14,1.1734911432502336e-13,4.595943400550403e-15,0.1301247960470785,0.002860932082070061,1.0460046548960344e-15,1.9569499883098943e-15,1.0105907374885363e-15,4.1852333929086665e-13,0.00159768113292747,0.009832326400041403,2.1745375944567295e-14,1.3834478364109534e-14,4.0529428832436125e-15,1.6679285243968659e-15,5.1750512138896434e-14,4.0000242255683704e-05,6.294335508056801e-14,1.4201283160488142e-15,2.912553373471116e-14,3.40629927709682e-15,9.803199074813881e-16,1.4903588921093008e-08,2.9961887109961606e-14,0.0009932518399825884,7.303290324390085e-15,1.0723602841603135e-14,8.407128313336888e-15,1.577182379035729e-14,9.958165511435676e-15,1.3720754241674194e-13,7.007851726445854e-15,9.685622223354644e-15,0.8359949554989112,1.8218946852428506e-13,1.1790633964883323e-13,4.221127196080919e-15,6.354894296972358e-14
2,0.0026739193894616295,4.818789831842272e-10,7.414504411640608e-15,0.0013257466509007851,5.955029343670943e-14,1.3521438232603484e-14,2.640407348942108e-14,2.144759258889055e-14,2.5039460876549152e-14,3.0452337646807063e-15,2.916317600508453e-13,6.287488409645562e-15,7.912548825085958e-14,7.919047217715782e-12,7.693240496988644e-15,0.10618424328032486,6.451449070733678e-13,2.1222741108649486e-15,6.477650486076092e-15,4.636097805647394e-15,1.000828916834153e-12,9.531739230436047e-14,0.01927431739502645,5.96152818664095e-14,2.073557699367253e-14,3.396845174275123e-15,4.692555499893511e-15,2.457148861704487e-13,0.0005585193539309794,8.182230312100078e-14,7.040243351741088e-15,4.0756188718533715e-14,1.074878777560446e-14,3.3179031605036695e-15,3.0704875283231254e-14,1.4923171149074064e-13,0.004078168665454788,2.593510748093562e-14,4.5385157143482594e-14,1.9737178093737542e-14,4.798981353717137e-14,2.0894357469312908e-14,2.5108391276393444e-13,1.5814957963619693e-14,1.6935073020100503e-14,0.8659050847690406,7.515490125652416e-13,1.2275841076771568e-12,1.7060601947551388e-14,5.789879848773518e-13
3,1.9206225266928718e-12,0.012311023932377992,1.4037994667708686e-16,2.7440308756607328e-11,1.1578119090134973e-15,1.4938834023241514e-16,3.345262259428042e-16,4.06000085806719e-16,4.465138314110311e-16,4.943579894850939e-17,2.754178358077577e-15,8.73481042263985e-17,1.65854747719161e-15,0.04237767369550819,1.1313649025202601e-16,0.02709752717901504,9.396686633998087e-15,5.616291598201426e-17,1.036520391571428e-16,1.0279902831701593e-16,1.5383884878881232e-14,1.2246231492124125e-14,0.02409109791774476,6.560746642003912e-16,3.5903126466968935e-16,5.3076488644595273e-17,1.1752095876821126e-16,3.9991103926615405e-15,0.0007706741374554574,1.6668806936939255e-15,1.1350005877516088e-16,5.705365896985138e-16,1.6713363855396683e-16,1.024030868277841e-16,3.563208986680376e-16,1.8243443431462258e-15,3.261830548322654e-12,3.714603690854671e-16,7.422286231079586e-16,5.136578540309957e-16,8.228013423674099e-16,2.6164990870017637e-16,2.4482546045271878e-15,4.3164184275043505e-16,2.0907126058350447e-16,0.8933520031126381,1.0735298461766901e-14,3.4688402788203714e-14,2.45632448440644e-16,5.156295438984905e-15
4,1.8788919144572246e-12,0.007129140915318613,1.946478942139873e-14,3.6558841477290237e-10,4.1987167699544526e-13,2.3890234979122602e-14,1.0633653125388382e-13,8.425786693882551e-14,7.051459992601833e-14,5.157137974925177e-15,4.460177846949656e-13,1.609256002715936e-14,5.366382821947502e-13,0.04774566262048251,4.442444818078474e-14,0.03333178854652059,1.6968179803623552e-11,2.4680433008682007e-14,1.0002045576617474e-14,1.9678394082878657e-14,1.2274880318686204e-10,2.1625460589938282e-12,0.02313326958816054,9.73521677485848e-14,7.507439233904224e-14,1.8949661233613384e-14,3.5641518582568936e-14,1.8746226622555922e-12,0.0006981309985713392,2.962264631143535e-13,3.972207007190605e-14,1.5139333421652689e-13,3.5323731710413887e-14,2.0286911652798166e-14,7.626531506851713e-14,8.417627634618719e-14,1.6974871030469115e-12,5.5178304669760504e-14,6.724324702727715e-14,3.0604693853875764e-14,1.9458076615687078e-13,5.496235283525782e-14,4.112148873595447e-13,1.0332357199097709e-13,2.8710237795870067e-14,0.8879620068064995,2.1826160557374948e-12,5.150287830873503e-12,2.8187981457450627e-14,6.256460331722262e-13
5,7.480430648213999e-14,3.5780615067728147e-10,4.8196088269559385e-15,6.126295380727657e-13,6.278195262040092e-13,1.459360610091655e-14,5.252011150699989e-14,1.592159134890724e-14,9.407665369909922e-15,7.966592674419299e-16,2.0218026686518646e-12,1.6434462894371194e-14,1.3582832993811688e-14,0.03795071022038906,1.0125797225015918e-14,2.846857518704163e-12,1.9617882649815652e-11,6.887093745476682e-16,2.096716398853094e-15,1.40383251354533e-14,2.9747195105376855e-11,3.8818237316453774e-14,0.021288131233623067,1.1611874148273025e-14,1.85834656691451e-14,6.178482681583686e-16,4.6108885561719386e-15,2.7391577599494206e-13,0.0007860465397985368,1.6735825372860345e-14,2.018121425861134e-14,7.229207701259372e-14,2.590136046073251e-14,1.2059169682721645e-15,7.94283298404348e-15,2.2903242656708243e-14,2.1019378086726125e-14,4.3391716974706285e-14,1.774745423402791e-14,9.895011043535816e-15,7.615781561377066e-14,3.4416079349628605e-14,6.619845894437175e-13,6.414766557222851e-15,9.905993396660002e-15,0.9399751115795091,7.670520864760747e-12,1.284457236000214e-12,1.8005105210816837e-14,2.5691708125032713e-12
6,5.145070227033252e-12,0.017206925627554662,1.4687405407973644e-13,0.0021596594474617634,3.887322630621578e-09,9.020363701704107e-14,2.8637382852214424e-13,2.392619237308887e-13,3.528421533438566e-13,2.7208079133328162e-14,5.574046743933449e-12,6.372315609377157e-14,3.3891850306434377e-13,0.16009921290368934,7.875285450248329e-14,1.0681671543455333e-11,1.2490254694395873e-11,2.1442497524677554e-14,9.2922333031629e-14,5.129758848015472e-13,1.4488689791428492e-10,1.0391459257111049e-12,0.027725715429361055,4.227865301454597e-13,2.9250539841314296e-13,2.4910246936633016e-14,1.0743771860876324e-13,4.297218874894262e-12,0.0003553392139935935,7.625508611986134e-13,1.444972859577501e-13,1.0177951377713387e-12,2.1197499588961151e-13,4.5485145745224124e-14,1.593155388703786e-13,7.075459473839285e-13,2.397173411694049e-13,6.492029123644318e-13,5.322144944712984e-13,3.348945031832545e-13,8.483248782165101e-13,2.450316349167028e-13,1.0271982623647266e-11,4.3903822661349687e-13,1.530575445062379e-13,0.7924531432304229,4.185282432218782e-11,9.590712692945859e-12,2.46465646063156e-13,4.686765311445778e-12
7,1.0986925554931622e-13,0.005481139049108111,3.889566561211285e-15,0.009160671646659466,9.902632584078803e-14,2.2872720190313335e-15,6.238593560865211e-15,7.754831454007866e-15,1.2008985916833143e-14,8.403114968718543e-16,1.0081280830125732e-13,1.5535015907952722e-15,3.4386884066919385e-14,0.15553122360801497,1.860425454268768e-15,9.084410370841336e-13,3.058704583841307e-13,1.1938018383241844e-15,2.9431685364718846e-15,3.306858873154831e-15,2.615665052291216e-12,2.2757698276028862e-14,0.02566260627928804,2.2605912414060564e-14,8.009867353137725e-15,1.5825223985189151e-15,2.4135808742758595e-15,1.1938506982817918e-13,8.483036212239651e-11,2.565213595176348e-14,3.3306452718579527e-15,2.575065640006759e-14,1.999115550794857e-15,2.6528741143256794e-15,6.406213096925927e-15,3.7728376642611416e-14,8.618163974086104e-15,9.558366301063012e-15,1.1228851700979281e-14,7.855546281722763e-15,1.514876184571072e-14,7.739514021938259e-15,2.7923254879845157e-13,2.5680440561944946e-14,8.002721535507408e-15,0.8041643593252354,1.3952476978750857e-13,2.7830983268187827e-13,4.4225014327643904e-15,5.0551328484016864e-14
8,6.662424822019894e-13,0.015948762110132336,2.3355617515195958e-14,0.0074820635077488115,1.0844077695741542e-13,1.2004093256744779e-14,2.7144969195779733e-14,5.446136824840658e-14,8.747809810874004e-14,4.451047679052215e-15,9.400412688128908e-12,1.449552324934638e-14,5.601759513489012e-13,6.547159385565513e-10,1.5716769795964846e-14,3.0957800803477118e-12,0.07936513220867564,7.946462132303838e-15,4.3478232227885934e-14,3.0260947464971785e-14,0.08495798853296072,1.5264284587665941e-13,1.1888510996321086e-12,2.006396988143538e-13,6.719778867169436e-14,1.5553604302966816e-14,1.9869972956767336e-14,3.743474142498359e-12,8.625178844831389e-15,1.529021055549434e-13,1.776807654113637e-14,2.525602077874115e-13,1.0970657360007394e-14,2.2940952397990178e-14,4.7348549233887133e-14,1.9446418648424357e-13,4.7308090641087346e-14,1.1686934275553858e-13,5.559883225921994e-14,5.036752633714443e-14,1.175775316070197e-13,7.255939492252337e-14,4.903983332458605e-12,5.308900884543847e-13,9.652323740983886e-14,0.8122460529574281,8.326893114013763e-13,1.2113428857579253e-12,3.347374312520742e-14,2.274847569445553e-13
9,6.2939361258125e-13,1.0797782430502767e-10,2.4566220799336538e-14,2.8832700786982556e-13,5.858790610582082e-14,8.222423389047103e-15,2.886752310141071e-14,4.800008961802529e-14,1.033336632855112e-13,4.286408839693199e-15,4.1367183944492774e-08,1.650995985921769e-14,1.507699463018685e-10,0.018723049103943,9.127613971215256e-15,1.9882754985977745e-12,0.033845280980732494,1.3318915139385878e-14,1.873776939477164e-14,1.3844625621943404e-14,0.24449250903793152,1.3842704259071764e-13,3.1460775141557333e-13,9.961353624336264e-14,9.098704643071173e-14,3.756690529797069e-14,1.0765003971818283e-14,0.020974258710212686,4.032275999112642e-15,1.4524377427012868e-13,2.2681012090702146e-14,6.517381462296097e-13,9.72021224272563e-15,2.80350623828327e-14,3.4191779610417093e-13,1.624102969264437e-13,4.6931261352530455e-14,1.1359466914983135e-13,5.602644459614183e-14,4.7646419746501673e-14,1.6587974752236057e-13,5.525748850685215e-14,1.1486113176808824e-11,1.8156034186373243e-13,5.615321174522814e-14,0.6819648605285415,8.016571643478177e-13,8.739491801552758e-13,2.8109030888710303e-14,1.8530926124111282e-13
