,aapl,intu,klac,nvda,adsk,has,nke,tif,pvh,bby,abc,unh,ci,mck,hum,el,cost,wba,mo,syy,bkr,slb,hal,cvx,oke,ipg,omc,viac,cmcsa,dis,expd,gww,pcar,ba,rtn,es,eix,ed,sre,exc,ecl,shw,iff,fmc,ppg,pld,reg,avb,well,kim
0,0.16763418846217967,1.6719320401196443e-11,1.173273146884517e-11,2.824264626965606e-12,0.06653972769027379,0.01646202723526753,1.7838499805241927e-12,1.2556995575627295e-12,5.8078200545846265e-12,2.6104569224631946e-12,0.13448122195816797,2.2764951766109974e-11,0.037200130745296774,6.554994699481316e-11,0.02067832313931546,1.7611961570624024e-11,8.050117728465987e-12,7.299508448577116e-12,0.011080721793706604,8.023181895987547e-12,1.937247061307747e-12,0.07067045486611814,2.1294982806981875e-12,2.794215813313764e-12,7.720302112769152e-12,0.10083277414001948,1.343109562125032e-12,1.3156602999479464e-12,0.005663321228468495,6.859008620290087e-12,1.1595350795389174e-12,3.728486651970934e-08,3.517836455003229e-12,3.0106461040001736e-12,0.03718824123183665,1.378865075695773e-12,0.09990133202043068,0.04913162879487454,0.0036075828060742722,0.04403628635688451,1.013196855345067e-12,1.1849741216937566e-12,0.0401583163361322,1.8065048615469841e-12,9.874614326165511e-12,2.799413625397886e-12,4.8843003796885295e-12,4.508294056256789e-12,0.09473368367075383,8.01944086347867e-12
1,0.16113597808566937,2.47637733870813e-10,1.4527296047068708e-10,8.359984389794979e-11,0.06644099179080012,0.02539857834147144,9.775484647449325e-11,3.762052399967382e-11,1.1048383942002434e-10,1.0296303010029428e-10,0.1477637955445585,4.472765471275693e-10,0.02358319050104987,5.154926108259643e-10,0.036310803890080574,0.022381368157652015,3.932628005422599e-10,1.45538184771682e-10,1.3343929344525606e-09,9.916548559221771e-11,5.910223558173923e-11,0.06853377524454649,0.06301861409804323,8.662352179858618e-11,2.9805865398456715e-10,0.07680612113681329,4.379787445669758e-11,7.647292061669626e-11,0.030053266686486366,0.0050653706181775626,4.106641893523897e-11,1.6199870278291515e-09,1.5285624051389963e-10,1.1039757030784652e-10,0.0014665473877023113,1.026645126371231e-10,0.07483421408665608,0.0934914037066953,0.028131061557589383,2.1860529961842994e-09,3.963347891029086e-11,6.512668569051112e-11,1.3632727233745304e-05,5.746505465766531e-11,1.9434517703350315e-10,8.292736483453409e-11,1.6749120784313567e-10,1.81035591729145e-10,0.04247669954835577,0.03309457756495413
2,0.06752843745035064,3.6818973244306634e-12,1.6800667853199618e-12,0.027818992223916462,9.4293370708474e-10,0.017858548373622087,0.06306175471941036,1.105046668611853e-12,2.4555218343144797e-12,2.992331844215973e-12,0.020124619343825072,2.3056181023668747e-11,0.04373780660019818,1.5607873330976436e-11,8.757082798752883e-12,0.013969825350401586,3.692543954185914e-12,3.4465097295464616e-12,1.6308578731276478e-06,4.55474825961304e-12,1.6552611540961954e-12,1.6386624401360645e-11,0.2034579031852234,2.31303496360606e-12,2.627170872791587e-12,0.015439614588770568,1.6504626623413628e-12,2.753259203007407e-12,0.12347661930712912,2.1113579293712626e-11,1.6786181519115172e-12,9.343272161676243e-12,5.84701081916901e-12,2.9006903359033985e-12,9.656873485203151e-12,6.032324798872839e-12,0.11982664575474321,0.14735843259571943,1.9218566073683723e-11,8.612922424505475e-12,1.8947087952981602e-12,3.108143853854315e-12,2.478881017195957e-09,1.5641234711865055e-12,2.3733297080087693e-12,2.731430910162969e-12,9.116681980288752e-12,3.4901796035076523e-12,0.049873925310137644,0.08646524071215314
3,5.36434184498393e-12,0.08106908878668173,1.2153574715772683e-12,1.1761461618102444e-11,6.170000859298785e-12,3.1607668918697115e-12,0.04601230279487303,9.564366710544337e-13,1.458656548761351e-12,1.479770248478323e-12,6.2482618571213475e-12,0.1451661592732048,0.020538814139211877,1.731915585335856e-11,5.076916623550563e-12,4.132299197544823e-12,2.972760573654751e-12,3.136176107815462e-12,5.475471369683656e-12,4.581525532279835e-12,1.4623281228347316e-12,0.028334676057973344,0.2520595952747816,1.14676683662174e-12,1.7817409406845417e-12,3.945203773600324e-12,1.9564367688762667e-12,1.4276699668758893e-12,0.1531305211165444,3.71240134477515e-12,1.989436527108097e-12,3.8570661457521445e-12,3.904540988168485e-12,2.1692526349628852e-11,2.2195822609241957e-12,4.446135987049674e-12,0.019205864708866035,0.018775295934748783,4.048457442343346e-12,4.166301840309417e-11,2.6145220734086257e-12,3.194280264141006e-12,3.890908048292051e-12,1.7136701129590077e-12,2.1272958680152292e-12,7.871690041396435e-12,2.5458783736457935e-11,4.7815556753163085e-12,0.23407984402722176,0.0016278376595069712
4,2.4593643896389294e-11,0.07968674980357439,2.483979450452306e-11,0.009496819845173718,1.0825288735128306e-10,6.767489536709451e-11,0.018993144704782663,1.8135696674939467e-11,1.9880503954129804e-11,4.181175599142657e-11,1.1936985628905888e-10,0.15647901902688358,0.05381126959032198,2.074613588649596e-10,6.39290823367859e-11,9.139399815116661e-11,5.0707677195787546e-11,4.414119562749804e-11,3.124560962131812e-11,6.234588796500912e-11,3.260950893238822e-11,1.0563036747684147e-08,0.22980948434673457,2.7930011879412842e-11,2.5706476825055342e-11,9.518850981552605e-11,4.6517360999964774e-11,2.2121695194806747e-11,0.19853321501683185,6.083263293627364e-11,2.583747704404602e-11,4.451474731971887e-11,4.4242155893630956e-11,2.2747001841186278e-10,3.963426359777529e-11,1.9320274374592537e-10,0.004692856298942617,0.0008710017115796659,4.549293536261567e-11,1.1628744637802656e-10,4.190806256027243e-11,4.2164099390290393e-11,9.936074222529612e-11,3.4211898472377956e-11,2.2474244017733895e-11,2.0055460805078338e-10,0.0759063613687813,1.287006685971762e-10,0.17172006449752633,6.333361369703703e-10
5,6.325456807262539e-11,0.014678050360225658,5.971841916962427e-11,0.02539639580364726,8.726164702141246e-09,1.7191487293893068e-08,5.60124186435747e-09,4.2141936749376627e-11,4.938865815410324e-11,2.9625131530137276e-10,1.699641177858825e-08,0.16881416566620822,0.036738776885671745,2.80240234816873e-08,4.5080711401274886e-10,2.2345004645788368e-10,2.7020130469785524e-09,8.959051060721457e-11,7.67680419291501e-11,8.117069028439877e-11,1.1058655984385943e-10,1.0996544893479194e-10,0.19600229019387486,1.8598364110877264e-10,4.433215175515427e-11,1.2317587077099932e-10,9.334802263453816e-11,3.902242392348449e-11,0.26240310971499214,1.0071760901714021e-10,1.0050954304985681e-10,9.946133082470312e-11,2.0693384707388768e-10,1.4302612154426985e-10,8.496497480126864e-11,1.0568856467243333e-09,6.011003378517025e-10,1.6500679721366924e-09,8.47559470797691e-11,1.1644353061978438e-10,9.277577699596579e-11,3.1452586154715853e-10,7.149769879229639e-10,6.902897735372527e-11,8.257505328915385e-11,1.1711651747532672e-09,0.14706982246975028,1.093172647487694e-07,0.14889710827446365,8.324375149258809e-08
6,5.05304541467941e-13,0.1044556008231622,3.8762569152925126e-13,0.12472886774130042,1.8977591335003938e-09,8.281305038721378e-13,8.897249755363394e-13,2.432668083809966e-13,3.1158650751371275e-13,6.61852218814537e-13,0.012136092033859689,0.09383049376923215,0.029651347924608926,0.13160676901485857,7.815510526035104e-13,9.065649857266376e-13,8.298111867053266e-13,6.113787904276522e-13,2.033021480295596e-12,7.462721417216207e-13,2.8029109504694714e-13,5.439318767879327e-13,0.2255074214600883,1.1345798644944848e-12,2.2724247615871925e-13,8.737239695149019e-13,5.330046020945308e-13,2.392471670367708e-13,0.03337035151849213,5.312609429251271e-13,5.264306168392499e-13,3.733717389489097e-13,4.78003864508067e-13,1.9197898192813278e-12,5.936829342872031e-13,1.3329178747366548e-12,4.4353461247175637e-13,1.0636100006509368e-12,4.293995336244891e-13,5.486548647776508e-13,5.318412869198675e-13,4.749891177455449e-13,7.625152272221104e-13,7.834491924190547e-13,3.942160848329961e-13,2.3266943574458854e-12,0.21301683340540833,0.002186922450448797,0.029509297924456408,3.004541282324802e-12
7,2.8423920788098246e-11,0.19921622061843422,2.497997176833562e-11,0.10815445036343041,0.00012511660782088898,2.568185000057024e-11,2.850596478266608e-11,1.6038077179990377e-11,1.9645943968359607e-11,2.7108771277986833e-11,1.0495698339899609e-10,1.2654412708647669e-10,0.2674774419117104,1.230856763139577e-10,2.1191264544412784e-11,2.943013654713737e-11,4.564587165329049e-11,1.0767584721033825e-10,6.362194996251604e-11,3.955800325832713e-10,1.8839154044472124e-11,2.3534967332813612e-11,0.17930792732091871,5.484456077947699e-11,1.747662686680244e-11,1.0110088847575276e-10,4.0872000022285126e-11,1.482209320432945e-11,0.013528241223993364,2.858494807713752e-11,2.65655970040873e-10,3.888788437121891e-11,2.744667588593085e-11,8.447902801202703e-11,3.80747929205912e-11,4.629069578301661e-11,1.848155743137863e-11,5.658433208688314e-11,3.5287293135483806e-11,2.6650208437348145e-11,1.0418505743805563e-10,3.231014268996733e-11,7.449275046438723e-11,0.007244121845887364,2.2746688383668805e-11,1.0547276484234482e-10,0.22494647751051233,2.849215234885223e-11,5.4842432682716565e-11,4.114331756900151e-11
8,1.3557726834777797e-12,0.1914472662371874,1.3329758542103435e-12,0.15761349699013572,7.525936285273712e-12,1.5060796803456056e-12,1.2921653450554252e-12,9.314833946882213e-13,1.3058149019143068e-12,1.2843720145303948e-12,9.610688195676786e-11,2.1648677026528202e-11,0.300220157351345,2.1248810236192715e-12,1.0560340083899562e-12,1.2725493960439222e-12,1.084381906563373e-11,6.244219167514629e-12,1.9402860070572648e-12,6.369400399795896e-12,1.9988786238570118e-12,1.2259990881204062e-12,0.07804560445264878,1.9497566029674834e-12,1.2534714078904786e-12,5.848108914420978e-12,2.2971506133306466e-12,1.3958514622000715e-12,6.063690532476814e-12,1.3786862300654274e-12,0.016317578720182527,2.2166606908381164e-12,2.0987018318388455e-12,2.261570658449121e-12,2.7342231498279107e-12,1.1140278785180664e-12,1.009495673438243e-12,3.925967442560664e-12,1.8490867122848647e-12,1.524448613746812e-12,0.029271639531957883,1.438642788090514e-12,4.373276727782465e-11,9.542577624648162e-12,1.3860017300967438e-12,3.815692587289977e-12,0.22708425644348046,1.0197569161249154e-12,2.983043148522196e-12,2.86502753446452e-12
9,1.5238738606827477e-11,0.20981462700615525,1.0846991707297735e-11,0.10283178198285711,1.0302148197104556e-11,1.2706889528531093e-11,6.98094902766429e-12,6.359929611165002e-12,7.767307452946363e-12,9.698562809527505e-12,0.014080466495395185,4.721540179025528e-10,0.33374642201331906,7.159688661130867e-11,1.0611837164109451e-11,1.0304667366187214e-11,3.558848477515582e-11,8.374104789242681e-12,9.033706822040849e-12,3.977757825224472e-11,6.258492619021935e-11,1.0742396048000535e-11,2.586165003196898e-10,7.324688321147547e-12,1.6018210526969265e-11,1.3767338057897324e-10,1.87955754382707e-11,7.75114600920664e-11,1.6360234252864876e-11,9.475256811700397e-12,0.16322568408554608,1.7520489197242462e-10,6.068532144062433e-11,1.159985020762998e-11,0.022208405811996255,7.147655465126469e-12,6.837069646540271e-12,5.647878727935621e-11,6.23207932750883e-11,1.8764863078318098e-11,0.12986443975612014,8.212718532484435e-12,8.779363730709723e-11,3.292832238922452e-11,7.809970669591402e-12,2.07075839985187e-11,0.024228170840308767,1.1269608653016426e-11,2.4745027183808525e-11,6.333808464835721e-11
