,aapl,intu,klac,nvda,adsk,has,nke,tif,pvh,bby,abc,unh,ci,mck,hum,el,cost,wba,mo,syy,bkr,slb,hal,cvx,oke,ipg,omc,viac,cmcsa,dis,expd,gww,pcar,ba,rtn,es,eix,ed,sre,exc,ecl,shw,iff,fmc,ppg,pld,reg,avb,well,kim
0,0.01670083316907706,0.0023757765659289066,5.788631259969103e-20,6.00205398199052e-19,0.0055511424959816405,1.656441889969643e-19,4.666879698275874e-20,2.581746203628782e-19,4.964048661666966e-19,2.139753409716708e-20,0.0015097631988255074,2.217128470408798e-20,2.392745886113696e-19,5.4491329676082394e-18,3.12186275894077e-20,1.5007419259555864e-18,3.490765386165498e-18,1.2288869047983934e-20,2.917135178158545e-20,3.266023837046182e-20,3.1040667576878494e-16,8.422343935801731e-19,3.781089156511014e-18,7.471901650914754e-18,1.8725014872684742e-19,0.0007840647894675951,3.242038438312246e-20,5.527256554524038e-19,0.00023479988758026517,8.988257904414405e-19,2.2453860594714198e-20,0.004504165894534177,4.421457187427288e-20,4.114276716767803e-20,0.00037006419978736496,2.256218866390177e-19,0.006613301979822992,1.0749057774327059e-19,1.7508604531999406e-19,1.415453163623427e-19,4.3922222424189615e-19,6.541262031677236e-20,7.361730914001298e-18,2.3555385481331267e-19,6.190160622344604e-18,0.9613560878189942,5.330626731611701e-18,1.793863683380856e-18,1.4821501331206071e-19,5.441458763305152e-19
1,0.014559221717247148,0.005091406897077023,1.73788107582111e-19,5.635867186608397e-19,0.003974030373056476,8.251708638539261e-19,2.72843249315027e-19,7.401483275058592e-19,4.294622572909177e-18,4.8446513692391706e-20,0.008035190198549171,1.0171343928335298e-19,8.521791971160287e-18,2.767415854481561e-16,2.1796760255765853e-19,3.477164031793103e-17,0.0028895438724319596,1.208477174464344e-18,3.9560410975225104e-19,1.0388689630030214e-19,2.8230481219914785e-17,5.3676792937475753e-17,0.013948869871919132,2.0829452015721718e-17,1.1584628835056717e-18,0.0005647141879122748,1.9862586569061166e-19,3.42660424743565e-18,2.5706345931192756e-05,0.0034151350315435778,7.858786095783922e-20,1.901758004413567e-17,1.3530019469843395e-19,1.0058231103025245e-19,5.248464090064424e-18,1.014225915858632e-17,0.0016655121348200124,4.195653448474016e-18,6.8515480086758504e-18,1.0027120179118878e-17,9.082144046756686e-18,7.541840177717988e-19,7.114403847819572e-17,1.093525519638858e-18,2.279839833013775e-17,0.9458306693695113,5.473511689791176e-17,7.776036858789667e-18,8.600209606271879e-19,3.3675215846596482e-18
2,0.020665896834653117,1.6381098679589049e-18,8.849205675841459e-20,1.6706704422652926e-18,6.468459315607866e-19,2.787578173491048e-19,1.5393619251049148e-19,1.952540027453364e-19,3.136124395995205e-19,2.6347547040609285e-20,3.043972167384889e-18,4.227519231722972e-20,1.1533595614565583e-18,0.18006806381219956,4.594915747952042e-20,1.4949772897340667e-17,3.0262068933843826e-18,1.8586499399730005e-20,5.0929757298571384e-20,4.166824213308813e-20,6.1359059075473415e-18,1.154186973500841e-18,0.02687320960939845,6.459840961661352e-19,1.927467188183118e-19,0.0003882690032907686,7.448213324721242e-20,3.2867955979656757e-18,0.0007870582394548298,2.4913999377901376e-13,6.106765276969012e-20,3.754245588266184e-19,9.314782105419955e-20,3.4181559135769685e-20,2.0268876150163477e-19,1.2349806125566263e-18,0.006585577318679007,1.7655693653633158e-19,3.4885095071296483e-19,2.3705095552735307e-19,5.992528611022978e-19,2.000627459914337e-19,2.8876820044037054e-18,2.054557964775824e-19,1.9806602867393114e-19,0.7646319251820751,1.1517932931636895e-17,4.4685322351419426e-18,1.1699893406920557e-19,2.4356183714682016e-18
3,1.632963597703128e-16,0.016700119435916806,1.8254480728616264e-18,1.884526070030849e-17,1.6513256677310053e-17,1.364465114320247e-18,3.0994554987010906e-18,7.922156124956181e-18,1.846466082904726e-17,4.716879465745461e-19,6.743112331388503e-17,8.923407353261809e-19,9.020203129233462e-17,0.06971181966003874,1.936594742145176e-18,5.863111290859091e-17,5.307926032617673e-17,2.192994292542718e-16,1.6400121371190444e-18,3.389268888236828e-18,8.530615085066598e-17,6.72409327843196e-16,0.021822438203374987,1.3845187319961203e-17,1.172020772962447e-17,1.3219470063457523e-17,1.61792830491773e-17,3.234205667565134e-17,0.0008812541341522586,5.2359760354626616e-17,1.6785586152389004e-18,8.54957120363123e-18,2.6185230055892316e-18,4.350586682540618e-17,1.9192317716017343e-17,3.732039948151598e-17,2.5403214598932485e-15,4.404644252665006e-18,1.048908395649123e-17,1.1815711736280213e-16,2.630496411854902e-17,3.741956427631725e-18,3.398766678981199e-17,1.0328480561399642e-16,2.5572609019819603e-18,0.8908843685665121,3.280647071415687e-16,9.482825539145716e-17,2.5867047375941063e-18,4.201367692596424e-17
4,1.5282206822204394e-19,0.009605765924948738,3.0290894673183076e-21,1.1115469589295347e-18,2.2715727234558593e-20,2.8269421537884682e-21,1.2275496824107402e-20,2.922223458950064e-20,1.7033094706575822e-20,5.430375969363944e-22,5.979019430439365e-19,4.1687873067849535e-21,4.2552426330097025e-20,8.365605103167746e-19,1.5564560072880004e-20,1.4448109684909514e-19,3.1679026831432874e-19,8.823936901705781e-21,1.6748583771232008e-21,8.384974575677457e-21,8.219212037366046e-19,5.582853028085494e-19,0.022893906482929823,1.4809772192339442e-20,2.0742179435351337e-20,6.637014470144412e-21,8.614885333756898e-21,3.885262016765752e-19,0.000985783105936055,9.506922836600425e-20,1.3711612848228134e-20,3.734539635134532e-20,6.379493689921824e-21,1.0965023709217148e-20,1.939653567435768e-20,3.354229469659141e-20,9.257482269705323e-18,1.5131748511097338e-20,1.4742721632561788e-20,1.5041131513864257e-20,5.4071175693024296e-20,1.0761101831969516e-20,1.6136116577286173e-19,2.6702531698016e-20,5.2303688613699484e-21,0.9128909724647793,0.05362357202140596,1.1994467786480148e-19,4.610964414293858e-21,1.0506165992150087e-19
5,1.1623853077166153e-16,9.805630637649213e-17,7.134695781860272e-18,1.5506490597931885e-15,1.369932184065481e-16,9.49797874948464e-18,1.995821927881121e-17,1.1014797188938438e-17,1.3602837525325317e-17,3.589130772105931e-18,1.9834825780521531e-16,2.682102521824375e-18,2.2225870165300503e-17,1.1063773332315805e-15,3.3411907988261427e-18,9.646682308864852e-17,1.3093744163621603e-16,1.4107032980421134e-18,5.276366747448273e-18,3.959660368328488e-18,9.866732576685952e-17,2.541597742276602e-17,0.015127688848447942,5.068142678829659e-17,8.758351510680467e-18,1.971648844703564e-18,5.158489765506472e-18,5.0733872102525376e-17,0.0010577888726873061,3.582427940505019e-17,3.1323972871453028e-18,2.6341711492622205e-17,5.824630424609321e-18,3.567580305625389e-18,7.488310305978966e-18,3.553235720765841e-17,2.2382030929439226e-17,1.8146964394106184e-17,2.8636665798837116e-17,1.5971217702607775e-17,1.822931777298222e-17,6.184078031658195e-18,8.055129716768152e-16,1.5550943879926002e-17,6.3738150257610135e-18,0.9300400924776752,0.05377442980118438,1.1886513285033447e-16,7.442287551707413e-18,1.4121829477589013e-16
6,1.3235738779607974e-19,0.006182307885967386,1.118204950639993e-20,0.005382105491315318,1.526014810052182e-19,1.3811086392407932e-20,2.022208938213215e-20,2.4720233017273444e-20,3.184475611167527e-20,3.46253533733035e-21,0.011848389027824468,5.761841379190023e-21,7.578690724051959e-20,0.006515816261484873,1.4042120135100697e-20,3.8727121597432963e-19,1.4642851178138091e-18,3.4564089782586814e-21,3.194547434165999e-20,1.4644288349006945e-20,3.4162533327194244e-19,6.684042615823815e-20,0.019432744341913655,1.435490624073985e-19,2.1546646576862413e-20,4.526223916961418e-21,9.354010088764586e-21,1.79375052125165e-19,0.000757229453090619,6.499950762092607e-20,6.585980621480488e-21,5.15441723757072e-20,7.947112518450189e-21,1.1007220471401242e-20,1.9529702133700778e-20,1.853587216774148e-19,3.4080955480487157e-20,4.3994653216526366e-20,4.2501333169838895e-20,2.8927332101402434e-20,3.856164377087709e-20,1.6932967804842678e-20,5.218835965654276e-19,7.009217779597851e-20,2.3088867262331674e-20,0.9498814075384037,2.1001060663487163e-18,9.183586098174658e-19,1.759709261438107e-20,2.626052154571228e-19
7,2.5773231451506378e-18,0.015483276055909592,7.529872911692372e-20,0.01631822727919293,1.3194363769975752e-18,4.156149780748957e-20,1.3490482559679664e-19,1.446915341626278e-19,2.3587197634527196e-19,1.5674095251102512e-20,5.045669487174462e-15,2.84476452217476e-20,7.552555530492551e-19,0.08819230319476347,4.211602377678498e-20,2.55975236693429e-18,2.235993919288224e-18,2.5153839938264658e-20,8.105710519408468e-20,5.727857057829328e-20,7.246338981088228e-18,3.886549479439968e-19,0.03365165609493069,7.564552216144589e-19,1.535105372735209e-19,5.277591679760156e-20,4.611554298096303e-20,1.9754575994144414e-18,2.8113394929536055e-17,4.648967708351015e-19,4.461005722772393e-20,4.2708250106289314e-19,3.8794520722801163e-20,4.99096734537745e-20,2.0968034757937504e-19,9.903973314723752e-19,1.845434648074143e-19,1.8475011342650394e-19,2.1508495280096536e-19,1.3804238309769094e-19,2.433736685709632e-19,1.2857916671820333e-19,2.97357234550326e-18,2.0686442629557316e-17,1.3350406441274218e-19,0.8463545373751983,1.6521838483582937e-17,3.6948963749912974e-18,7.789168755531573e-20,1.102745574685159e-18
8,5.7379198933165516e-18,0.015528913135618994,1.3852891623858506e-19,0.023198375680365722,9.272876823859625e-19,4.8274122081846664e-20,1.5527178711371458e-19,2.62067772035555e-19,4.9899332229857255e-19,2.2857007217241987e-20,8.952496603906455e-17,5.0475175775867346e-20,4.58498431775726e-16,1.2473391562586239e-17,5.212258236793837e-20,9.311707638173617e-18,4.474780848061913e-17,4.452572837861354e-19,2.6512149487184665e-19,8.293115074244243e-20,9.683677327532553e-16,8.599498506765954e-19,4.951980375778825e-18,1.54620042940839e-18,3.576334844176086e-19,1.6855979536139867e-18,1.3904800450881075e-19,2.7948048208938785e-17,4.2185144191864056e-20,1.031781482196469e-18,7.058882285438856e-20,1.766323243663314e-18,3.910630670811582e-20,1.8745276211213812e-19,8.833296562253577e-19,1.083826019387516e-18,2.569069783632777e-19,4.664083696254679e-19,2.196811120540588e-19,1.8957531373714445e-19,5.13488127967607e-19,3.1723129801585883e-19,6.971915142750856e-15,9.69092916274791e-16,3.426030275614729e-19,0.9612727111840057,3.4145300743798245e-18,3.4263020459129255e-18,1.223537844340232e-19,8.304952508730122e-19
9,1.5509390593778204e-19,2.248546967716683e-19,7.074477667571653e-21,0.008646015704128701,1.647815132967523e-20,1.889366129454191e-21,7.168156596918969e-21,1.1505177982411935e-20,2.251454473243465e-20,1.1042178260071083e-21,0.0026585510643281824,2.8791036563768105e-21,5.064448227731616e-18,5.814835072725981e-19,1.802480080885778e-21,4.155212817567263e-19,5.268005588777664e-19,2.7379085031272108e-21,3.776257049080308e-21,2.7763414960804944e-21,0.01941652610311299,4.2108452696820307e-20,2.2441618596460525e-19,2.3836168664019317e-20,2.0901342412958157e-20,0.0003854264133120072,3.306248624693559e-21,0.05049093987623527,1.375312823864306e-21,4.081783878563787e-20,5.4176594312458655e-21,5.3197452343165e-17,2.3408939931487142e-21,6.606716404503069e-21,6.519055779985606e-19,3.477821159341368e-20,1.153005782171428e-20,2.3314729324071802e-20,1.4444190401535982e-20,1.109704592395613e-20,3.917252341447443e-20,1.1726081356978768e-20,1.4904067654417569e-18,3.545232007121966e-20,1.0388270329059511e-20,0.9184025408388828,2.119454154514624e-19,1.5005647332866875e-19,5.534344727250062e-21,4.303330326467034e-20
